alim_grp_nom;alim_nom;energie;eau;protéines;glucides;lipides;sucre;amidon;fibre;cendres;alcool;acides gras;ag saturés;cholestérol (mg/100 g);sel;fer (mg/100 g);magnésium (mg/100 g);potassium (mg/100 g);vitamine D (µg/100 g);vitamine E (mg/100 g);vitamine K1 (µg/100 g);vitamine C (mg/100 g);vitamine B1 (mg/100 g);vitamine B2 (mg/100 g);vitamine B3 (mg/100 g);vitamine B5 (mg/100 g);vitamine B6 (mg/100 g);vitamine B9 (µg/100 g);vitamine B12 (µg/100 g)
entrées et plats composés;Salade de thon et légumes, appertisée;-;76,5;9,15;7,74;4,7;3,08;4,1;2,7;1,79;0;5,911;0,56;19,2;1,11;1,1;25,1;232;< 0,5;1,6;-;2,75;< 0,04;0,053;4,45;< 0,16;0,29;31;1,45
entrées et plats composés;Salade composée avec viande ou poisson, appertisée;-;76,7;8,06;6,4;5,3;1,9;3,3;2;1,5;0;8,912;0,16;15,2;0,95;0,7;20;220;0,44;2,04;9,75;-;0,032;0,022;4,13;0,2;0,12;11,1;1,23
entrées et plats composés;Champignons à la grecque, appertisés;-;85,2;2,08;3,95;3,55;2,38;0,99;2,35;1,65;0;2,126;0,23;0,11;1,26;1,06;13,5;277;0;1,08;-;6,67;0,056;0,21;1,84;0,88;0,088;19,6;0,018
entrées et plats composés;Salade de pommes de terre, fait maison;-;76;2,68;9,9;8,2;-;-;1,3;1,95;0;9,074;1,43;68;1,32;0,65;15;254;0;-;-;10;0,077;0,06;0,89;0,53;0,14;7;0
entrées et plats composés;Taboulé ou Salade de couscous, préemballé;179;60,3;4,88;23,7;6,7;4,9;17,7;2,5;1,52;0;12,36;0,67;0,1;1;0,88;25;210;0;1,26;10,6;6,27;0,087;0,024;0,5;0,26;0,052;14,5;0
entrées et plats composés;Salade de pomme de terre à la piémontaise, préemballée;130;75,8;4,5;8,87;8,3;1,2;6;< 0,5;1,74;0;15,24;0,82;29,6;1,08;0,43;16;300;0,5;3,96;10,9;21,6;0,08;0,049;0,98;0,44;0,099;21,6;-
entrées et plats composés;Salade de riz, appertisée;-;72,5;5,13;16,1;4,35;1;14,3;1,7;1,49;0;6,7455;0,53;6,5;1,1;0,43;13,1;143;< 0,5;1,63;-;4,48;0,058;0,045;2,65;0,14;0,13;33,5;0,43
entrées et plats composés;Salade de pâtes, végétarienne;-;72,6;5,7;13,7;8,1;2,3;10;1,7;1,18;0;7,75;2,37;6;1,04;0,6;11;84;0;1,95;-;21;0,04;0,02;0,4;0;0,09;16;0
entrées et plats composés;Crudité, sans assaisonnement (aliment moyen);29,9;93,2;0,94;3,07;0,7;2,27;0,22;1,51;0,69;0;0,9741;0,12;0,076;0,031;0,42;11,7;241;0,093;0,34;24;12,2;0,042;0,025;0,37;0,17;0,082;38,8;0
entrées et plats composés;Salade de pâtes aux légumes, avec poisson ou viande, préemballée;-;70,5;5,19;14;9,94;2,16;7,92;1,98;1,4;0;9,5121;1,74;11,3;0,95;0,95;23,3;193;0,12;1,18;-;12,3;0,064;0,057;1,77;0,28;0,14;18,4;0,14
